OBJECTID,TYPE,DESCRIPTION,JURISDICTION,WEB_ADDRESS,STREET_NUMBER,STREET_NAME,CITY,ZIP,ERC_PHONE,GlobalID,CreationDate,Creator,EditDate,Editor,geometry
1947,HOSP,RESTON HOSPITAL CENTER,COUNTY OF FAIRFAX,https://hcavirginia.com/locations/reston-hospital-center/,1850,TOWN CENTER PKWY,RESTON,20190,(703) 689-9000,d2401e04-854a-48f4-a129-4e251bfb6932,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.364599906005 38.9624394573364)
1948,UC,CENTREVILLE URGENT CARE,COUNTY OF FAIRFAX,http://www.centrevilleurgentcare.com/home.html,14001A,SAINT GERMAIN DR,CENTREVILLE,20121,(703) 830-8113,d1c99409-ee2c-4800-8995-01fbb9201dd2,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4353768241904 38.8367056785363)
1949,UC,VIRGINIA HOSPITAL CENTER URGENT CARE,COUNTY OF ARLINGTON,https://www.virginiahospitalcenter.com/medical-services/immediate-care/,764,S 23RD ST,ARLINGTON,22202,(703) 717-7000,a9b19fbf-8d0e-4bbc-bc6c-5c7da861c28f,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0591105520407 38.8530992935108)
1950,HOSP,DOMINION HOSPITAL,COUNTY OF FAIRFAX,https://hcavirginia.com/locations/dominion/,2960,SLEEPY HOLLOW RD,FALLS CHURCH,22044,(703) 536-2000,c67341c5-97d7-4dc5-862b-59e66fdbb58e,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1585908671291 38.8701777474388)
1951,HOSP,INOVA FAIRFAX HOSPITAL,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-fairfax-medical-campus,3300,GALLOWS RD,FAIRFAX,22042,(703) 776-4001,af3a2007-a254-48f7-90f2-084eba6e7e31,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.226756949808 38.857823711006)
1952,HOSP,INOVA EMERGENCY CARE CENTER - FAIRFAX,CITY OF FAIRFAX,https://www.inova.org/locations/inova-emergency-room-fairfax-city,4315,CHAIN BRIDGE RD,FAIRFAX,22030,(703) 877-8200,7a398f3f-c127-4a14-9d6d-a562eda783c9,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3102281991072 38.8380822556852)
1953,HOSP,INOVA ALEXANDRIA HOSPITAL,CITY OF ALEXANDRIA,https://www.inova.org/locations/inova-alexandria-hospital,4320,SEMINARY RD,ALEXANDRIA,22304,(703) 504-3000,90c40fbe-4af2-4774-a916-526a08974262,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1048143867524 38.8228800854695)
1954,UC,WALK IN MEDICAL CARE - BURKE,COUNTY OF FAIRFAX,http://www.justwalkinmedicalcare.com/locations/burke/,6045,BURKE CENTRE PKWY,BURKE,22015,(703) 239-0300,a0d2daf9-e73e-4ebe-8bde-bc4ca47643d8,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2986615953752 38.7868617785008)
1955,HOSP,FORT BELVOIR COMMUNITY HOSPITAL,FORT BELVOIR,https://tricare.mil/mtf/BelvoirHospital,9300,DEWITT LOOP,FORT BELVOIR,22060,(571) 231-3224,3e49d19e-e249-4410-a902-cd5ab198c919,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1432389194841 38.7056686741308)
1956,UC,DOMINION URGENT CARE,COUNTY OF FAIRFAX,https://www.dominionurgentcare.com/,6370,SPRINGFIELD PLZ,SPRINGFIELD,22150,(703) 569-7554,3456bec0-5a62-4bbc-bcf8-6e035d6e7066,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1895231575964 38.7822129144659)
1957,HOSP,INOVA EMERGENCY ROOM - RESTON/HERNDON,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-emergency-room-restonherndon,11901,BARON CAMERON AVE,RESTON,20190,(703) 668-8333,14c9f534-f0ab-4227-bc62-c087b59614c1,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3568394192189 38.965510444206)
1958,HOSP,INOVA FAIR OAKS HOSPITAL,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-fair-oaks-hospital,3600,JOSEPH SIEWICK DR,FAIRFAX,22033,(703) 391-3600,108a7c1d-f860-4948-adf4-5eef5e87b5c9,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.379913938069 38.8848065796503)
1959,HOSP,INOVA MOUNT VERNON HOSPITAL,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-mount-vernon-hospital,2501,PARKERS LA,ALEXANDRIA,22306,(703) 664-7000,36b84bbe-cbf6-4a03-be54-f43b4bc44318,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0762775829244 38.7398639841056)
1960,UC,INOVA URGENT CARE CENTER - CENTREVILLE,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-urgent-care-centreville,6201,CENTREVILLE RD,CENTREVILLE,20121,(703) 830-5600,a3f04821-8dff-4626-9404-b08f94c3e8f1,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4341655097871 38.8292423601084)
1961,UC,WALK IN MEDICAL CARE - FAIR OAKS,COUNTY OF FAIRFAX,http://www.justwalkinmedicalcare.com/locations/fairoaks/,12011,LEE JACKSON MEMORIAL HWY,FAIRFAX,22033,(703) 385-8378,41303713-ff26-414e-9974-b03917bed901,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3610087834548 38.8662733305102)
1962,UC,VUPC URGENT CARE,COUNTY OF FAIRFAX,http://www.vupchealth.com/,5501,BACKLICK RD,SPRINGFIELD,22151,(703) 564-5998,91bc818b-d407-46c6-b9a7-dd0ff290ffde,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1834181266985 38.8019438536833)
1963,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - LORTON,COUNTY OF FAIRFAX,https://allcarefamilymed.com/lorton-va,7740,GUNSTON PLZ,LORTON,22079,(703) 339-5858,5f0ef850-f9c1-42a2-92ad-f76c07918ae2,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2089582875521 38.7050961040934)
1964,HOSP,INOVA EMERGENCY ROOM - FRANCONIA/SPRINGFIELD,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-emergency-room-healthplex-franconiaspringfield,6355,WALKER LN,ALEXANDRIA,22310,(703) 797-6800,037ab74c-282b-44fc-a1aa-37c62194de1a,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.1610119367721 38.7670010513282)
1965,HOSP,INOVA HEALTHPLEX LORTON,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-healthplex-lorton,9321,SANGER ST,LORTON,22079,(703) 982-8400,deb7fe33-e069-4f5f-b1a3-50e49d3fe25d,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2269470936929 38.7025226116604)
1966,UC,CARENOW URGENT CARE - CENTREVILLE,COUNTY OF FAIRFAX,https://www.carenow.com/locations/northern-virginia/centreville/,4995,WESTONE PLZ,CHANTILLY,20151,(571) 441-3980,31a1deb4-be40-4e8d-a201-82a538eda408,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4448941254653 38.8705544572123)
1967,UC,CARENOW URGENT CARE - CHANTILLY,COUNTY OF FAIRFAX,https://www.carenow.com/locations/northern-virginia/chantilly/,3456,HISTORIC SULLY WAY,CHANTILLY,20151,(703) 435 3838,de39e098-16da-4054-a980-a5b6117e6367,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4270299194721 38.9144890743379)
1968,UC,PATIENT FIRST - FAIRFAX,CITY OF FAIRFAX,https://www.patientfirst.com/locations/washington-dc/fairfax,10100,FAIRFAX BLVD,FAIRFAX,22030,(703) 679-1876,c5bbf7f0-0fae-4eb4-93f1-fe2e404b9c64,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2944416033918 38.8624749823185)
1969,UC,PATIENT FIRST - CHANTILLY,COUNTY OF FAIRFAX,https://www.patientfirst.com/locations/washington-dc/chantilly,3918,CENTREVILLE RD,CHANTILLY,20151,(703) 657-6925,2026b604-4c90-476d-8e99-fa1a804d1333,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.4310524423864 38.8955074087514)
1970,UC,PATIENT FIRST - ALEXANDRIA,COUNTY OF FAIRFAX,https://www.patientfirst.com/locations/washington-dc/alexandria,6311,RICHMOND HWY,ALEXANDRIA,22306,(703) 647-6087,b68b2b96-109c-499f-b469-aa69ed617611,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.0780121078845 38.7808381675125)
1971,UC,INOVA URGENT CARE CENTER - RESTON,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-urgent-care-reston,1488,NORTHPOINT VILLAGE CTR,RESTON,20194,(571) 525-5850,64bec51a-041f-48ec-ad45-7c102d7f0b16,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.3504918449515 38.9782002778312)
1972,UC,INOVA URGENT CARE CENTER - TYSONS,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-urgent-care-tysons,8357B ,LEESBURG PIKE,VIENNA,22182,(571) 665-6440,01e327f2-c5ff-40a3-b564-c9b66f29b57b,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2368408967668 38.9198447352741)
1973,UC,INOVA URGENT CARE CENTER - WEST SPRINGFIELD,COUNTY OF FAIRFAX,https://www.inova.org/locations/inova-urgent-care-west-springfield,6230J,ROLLING RD,SPRINGFIELD,22152,(571) 581-6270,4d85aab6-576b-4d4f-8622-4a93f84f82bd,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2351133134663 38.7811773542002)
1974,UC,INOVA URGENT CARE CENTER - VIENNA,TOWN OF VIENNA,https://www.inova.org/locations/inova-urgent-care-vienna,180,MAPLE AVE WEST,VIENNA,22180,(703) 938-5300,08afde44-3600-44cd-b78b-4258f87d0c58,1687265333179,FairfaxCounty,1687265333179,FairfaxCounty,POINT (-77.2669698664055 38.8994823348397)
